,Level,Completions,Average Completion Time
196,198,1017,101.01159372664695
197,199,1019,290.3650882826308
198,200,973,335.4244254984584
199,201,950,187.6090482631578
200,202,908,275.85535159691614
201,203,969,212.80715738906102
202,204,933,212.8021982636659
203,205,912,337.2863053289473
204,206,875,222.23004379428593
205,207,826,279.22456370460037
206,208,934,249.9911836723769
207,209,881,118.51917507377986
208,210,836,394.4704067105264
209,211,772,247.5850581865287
210,212,752,157.3980004388297
211,213,789,190.67505191381494
212,214,731,220.14271265389874
213,215,716,230.8210924720671
214,216,746,189.3043707640753
215,217,699,380.0742661373394
216,218,671,424.93080852459013
217,219,668,176.3502909431138
218,220,654,290.27022873088697
219,221,714,140.91381908963584
220,222,661,202.21525642965187
221,223,636,223.0192967138364
222,224,661,255.76053537065056
223,225,659,156.1208836874052
224,226,639,147.9097385758997
225,227,688,83.92045965116282
226,228,673,169.43251832095083
227,229,640,193.28383350000013
228,230,608,334.08148723684207
229,231,657,249.45975465753446
230,232,648,177.70877716049378
231,233,633,144.8422296366509
232,234,623,229.29739208667735
233,235,620,164.63126646774194
234,236,610,184.0727900819672
235,237,610,181.61538422950815
236,238,606,169.55369293729376
237,239,583,212.08516782161246
238,240,517,371.55238529980613
239,241,560,212.66944110714317
240,242,494,233.30292595141688
241,243,483,147.79777469979308
242,244,481,123.83364442827447
243,245,481,160.39292237006234
244,246,470,123.80567553191503
245,247,451,244.99554467849217
246,248,483,130.45020546583854
247,249,474,206.6659469198312
248,250,438,215.80073534246566
249,251,425,247.99025209411752
250,252,435,167.90418717241369
251,253,426,121.23858262910802
252,254,426,172.92130511737096
253,255,417,133.87557237410078
254,256,408,272.4168786519606
255,257,394,204.64917218274098
256,258,398,268.0606370351761
257,259,411,331.3760847688567
258,260,385,173.61866618181836
259,261,404,341.91354358910917
260,262,388,125.01239257731956
261,263,376,194.66320757978707
262,264,366,322.01698224043724
263,265,386,169.447081968912
264,266,362,185.15687337016567
265,267,358,286.9029338268158
266,268,383,472.81685694517034
267,269,357,126.76012114845938
268,270,335,242.38289671641786
269,271,364,209.4942492032965
270,272,318,217.6541567924527
271,273,320,212.30751815624998
272,274,314,211.69895872611468
273,275,321,184.93608305295945
274,276,326,204.17907957055223
275,277,332,185.2349171385542
276,278,293,286.0932427986346
277,279,316,374.06572018987333
278,280,296,221.15154101351354
279,281,294,355.1152786734695
280,282,297,196.60335639730638
281,283,289,257.8828099653981
282,284,273,243.51014725274746
283,285,292,235.55509434931506
284,286,279,279.481743655914
285,287,277,222.2915892057762
286,288,272,235.71421808823547
287,289,284,214.69395908450693
288,290,269,191.6235489219331
289,291,259,228.89454073359082
290,292,327,209.61208064220185
291,293,270,161.37777677777783
292,294,258,179.98297449612403
293,295,267,166.6748356554305
294,296,262,282.88935603053443
295,297,249,278.6208163855422
296,298,259,239.89131710424707
297,299,256,264.75498937500015
298,300,252,180.1919903571428
299,301,248,180.06906467741942
300,302,234,254.1918994444445
301,303,246,180.81190532520316
302,304,252,146.3706411111112
303,305,236,291.0339916949152
304,306,248,195.3126588709678
305,307,221,232.88896484162913
306,308,248,193.34278782258073
307,309,250,202.30685028000005
308,310,216,171.59851939814817
309,311,219,184.34350940639285
310,312,225,163.97689617777786
311,313,220,261.5450725909091
312,314,213,206.49167619718318
313,315,199,190.15799879396974
314,316,224,235.907880044643
315,317,198,182.07601580808088
316,318,199,252.14885110552768
317,319,201,187.35568686567171
318,320,196,254.30056678571432
319,321,185,254.75999729729736
320,322,189,210.00993455026452
321,323,192,239.95965687500006
322,324,180,159.72715077777767
323,325,181,218.4766641436463
324,326,177,220.25658203389816
325,327,195,225.27266476923083
326,328,178,175.32750365168542
327,329,188,189.68381319148924
328,330,176,228.56156102272726
329,331,179,164.5648802234637
330,332,167,222.82569520958083
331,333,180,179.151994
332,334,169,232.74103615384612
333,335,176,246.95066687500014
334,336,177,347.96709740112993
335,337,163,226.25256711656442
336,338,156,425.9746837179488
337,339,169,153.1701895266272
338,340,163,324.2069611042945
339,341,153,189.28106065359484
340,342,144,208.90125770833336
341,343,147,186.06840428571434
342,344,141,131.11535730496453
343,345,135,810.9868586666666
344,346,140,170.74727235714283
345,347,132,618.3032552272725
346,348,140,231.03161328571426
347,349,127,154.58746866141738
348,350,127,322.28546291338586
349,351,121,257.08712504132234
350,352,134,193.1185221641791
351,353,125,233.73967455999983
352,354,136,239.6311683823531
353,355,121,164.94637421487607
354,356,128,212.55859460937498
355,357,111,313.6415189189189
356,358,118,146.2631124576271
357,359,118,216.36575610169484
358,360,112,332.4376010714286
359,361,117,210.57749658119664
360,362,109,293.5758202752293
361,363,101,344.0470242574258
362,364,107,229.12876149532704
363,365,105,213.44451047619052
364,366,104,328.9017358653846
365,367,100,185.43172170000005
366,368,98,161.68517785714283
367,369,97,192.29984783505162
368,370,99,167.27611030303038
369,371,97,167.38662793814433
370,372,104,250.01290759615387
371,373,96,360.3592788541668
372,374,89,277.35446033707876
373,375,93,122.94906408602148
374,376,95,185.197380631579
375,377,91,146.51619483516487
376,378,95,238.43050073684216
377,379,85,259.94215799999995
378,380,97,188.89148443298967
379,381,97,112.7480193814433
380,382,90,302.1626424444444
381,383,86,175.17082906976748
382,384,84,311.32668547619045
383,385,75,287.84607266666666
384,386,78,86.76482230769233
385,387,73,163.5861363013699
386,388,80,159.61610975000002
387,389,80,187.39505725000006
388,390,73,241.29188972602734
389,391,84,230.34658583333336
390,392,77,308.2766123376624
391,393,79,182.6501917721519
392,394,76,182.61923526315786
393,395,68,210.79727470588236
394,396,78,268.5267570512823
395,397,73,483.4549126027397
396,398,72,193.98061708333344
397,399,64,244.2179690625001
398,400,71,333.09503943661974
399,401,54,985.9499924074078
400,402,49,198.561226122449
401,403,48,352.0779472916668
402,404,41,288.79706317073186
403,405,52,307.4913480769232
404,406,42,185.18801833333328
405,407,44,179.8637843181818
406,408,40,235.36529649999997
407,409,37,260.80360702702706
408,410,39,350.6276205128205
409,411,38,212.68218631578955
410,412,39,651.7911715384616
411,413,36,237.4115488888889
412,414,34,164.2622020588235
413,415,44,758.9165645454545
414,416,38,224.50613342105262
415,417,37,185.3613181081081
416,418,36,236.28971472222221
417,419,32,198.09740156250007
418,420,33,212.16130333333336
419,421,33,157.81334151515154
420,422,37,354.97093189189195
421,423,36,215.79164000000003
422,424,30,358.77642299999997
423,425,28,164.58235642857144
424,426,39,122.58755974358974
425,427,24,468.5115245833333
426,428,24,249.21226500000003
427,429,24,372.02713625
428,430,23,347.2669821739131
